rssi,rate,noise_floor,data,local_time,channel
-51,11,-95,"[0, 0, -10, -9, -12]",152147309,6
-51,11,-95,"[0, 0, -10, 9, -11]",152152362,6
-51,11,-95,"[0, 0, -8, -11, -10]",152157073,6
-51,11,-95,"[0, 0, 1, 12, 1]",152165813,6
-51,11,-95,"[0, 0, -8, -11, -9]",152171645,6
-51,11,-95,"[0, 0, 12, 9, 13]",152214739,6
-51,11,-95,"[0, 0, -16, 1, -18]",152225242,6
-52,11,-95,"[0, 0, -9, -14, -10]",152233103,6
-51,11,-95,"[0, 0, 12, -9, 13]",152236986,6
-51,11,-95,"[0, 0, -9, -13, -11]",152247540,6
-51,11,-95,"[0, 0, 3, -13, 2]",152255396,6
-51,11,-95,"[0, 0, -10, 8, -11]",152259600,6
-51,11,-95,"[0, 0, 12, -1, 14]",152263811,6
-51,11,-95,"[0, 0, 12, 6, 14]",152267674,6
-51,11,-95,"[0, 0, 13, 2, 15]",152272065,6
-51,11,-95,"[0, 0, -13, 5, -14]",152524236,6
-49,11,-95,"[0, 0, -4, 13, -4]",152531626,6
-49,11,-95,"[0, 0, 5, -11, 5]",152535418,6
-49,11,-95,"[0, 0, 11, -9, 11]",152539146,6
-49,11,-95,"[0, 0, 11, 8, 12]",152543031,6
-49,11,-95,"[0, 0, 1, -13, 1]",152546840,6
-49,11,-95,"[0, 0, -14, 0, -16]",152554241,6
-49,11,-95,"[0, 0, 5, 11, 6]",152563565,6
-49,11,-95,"[0, 0, 13, 5, 15]",152569061,6
-49,11,-95,"[0, 0, 0, -13, 0]",152572742,6
-49,11,-95,"[0, 0, -7, -12, -9]",152582102,6
-51,11,-95,"[0, 0, -13, 5, -14]",152624336,6
-51,11,-95,"[0, 0, -4, -14, -5]",152628774,6
-51,11,-95,"[0, 0, -7, -13, -8]",152654486,6
-51,11,-95,"[0, 0, 2, -13, 2]",152668116,6
-51,11,-95,"[0, 0, -14, -3, -16]",152682662,6
-51,11,-95,"[0, 0, -4, -13, -4]",152688464,6
-51,11,-95,"[0, 0, 6, -12, 7]",152693020,6
-51,11,-95,"[0, 0, -1, -15, -2]",152698922,6
-51,11,-95,"[0, 0, 3, 14, 4]",152703251,6
